Minutiae type,X coordinate,Y coordinate,Açı (θ)
Ending,336,441,9.418461
Ending,181,444,18.010283
Ending,184,445,17.152054
Ending,322,445,12.818892
Ending,200,446,16.906023
Ending,325,446,11.37826
Ending,343,446,6.6539783
Ending,203,447,15.574491
Ending,330,448,7.8452578
Ending,152,449,16.702957
Ending,346,449,6.0871987
Ending,155,450,16.168335
Ending,158,450,15.857478
Ending,343,450,5.6628647
Ending,77,451,10.090103
Ending,161,451,15.475424
Ending,165,451,15.895528
Ending,168,452,16.093735
Ending,78,453,9.612946
Ending,178,453,16.691479
Ending,181,454,15.895211
Ending,186,454,16.452166
Ending,189,455,16.127254
Ending,227,455,18.121624
Ending,225,456,18.279566
Ending,142,457,17.976742
Ending,145,458,17.08291
Ending,268,458,9.980869
Ending,323,458,11.194023
Ending,327,458,14.116229
Ending,330,458,8.4071045
Ending,151,459,16.21621
Ending,271,459,11.288713
Ending,331,459,10.216348
Ending,106,460,15.877084
Ending,164,460,17.180424
Ending,109,461,15.9250145
Ending,167,461,16.229372
Ending,170,461,16.469524
Ending,308,461,10.806707
Ending,333,461,9.438512
Ending,173,462,15.836511
Ending,337,462,6.7649403
Ending,121,463,16.796165
Ending,184,463,16.514202
Ending,81,464,4.9239845
Ending,123,464,18.638489
Ending,187,464,15.95114
Ending,192,464,16.33945
Ending,195,465,16.085587
Ending,215,465,18.620247
Ending,85,466,5.927958
Ending,140,466,16.44051
Ending,213,466,17.786266
Ending,143,467,15.815353
Ending,150,467,16.185318
Ending,325,467,8.50651
Ending,96,468,9.825193
Ending,153,468,16.199865
Ending,106,469,8.306487
Ending,164,469,16.09181
Ending,278,469,16.28305
Ending,291,469,10.303326
Ending,297,469,6.5729885
Ending,167,470,15.556433
Ending,170,470,15.23516
Ending,281,470,14.444351
Ending,112,471,9.070578
Ending,173,471,14.734119
Ending,176,471,14.669727
Ending,306,471,7.7485237
Ending,179,472,14.402639
Ending,183,472,14.925598
Ending,297,472,8.726156
Ending,115,473,8.773605
Ending,123,473,11.011566
Ending,186,473,14.707108
Ending,189,473,15.28014
Ending,192,474,14.681533
Ending,198,474,15.813366
Ending,86,475,4.5752096
Ending,90,475,6.2422695
Ending,123,475,10.853989
Ending,201,475,16.106907
Ending,157,477,17.142797
Ending,268,477,12.763686
Ending,87,478,4.7816086
Ending,160,478,17.15395
Ending,108,479,6.6820517
Ending,275,479,9.004784
Ending,280,479,6.140959
Ending,109,482,6.3358197
Ending,113,482,7.2895603
Ending,132,482,4.5291433
Ending,139,483,5.403674
Ending,253,483,7.5516453
Ending,256,484,10.296265
Ending,259,485,9.63024
Ending,256,486,10.952612
